word,part_of_speech,english_word,sense
굶주리다,adj,hungry,affected by hunger; desirous of food
남편,noun,husband,male partner in marriage
양반,noun,husband,male partner in marriage
량반,noun,husband,male partner in marriage
얼음,noun,ice,water in frozen form
아이스크림,noun,ice cream,dessert
에스키모,noun,ice cream,dessert
까까오,noun,ice cream,dessert
상상하다,verb,imagine,(transitive) to form a mental image of something
중요하다,adj,important,having relevant and crucial value
개선하다,verb,improve,to make something better
안으로,adv,in,moving to the interior
안내,noun,information,communicable knowledge
정보,noun,information,communicable knowledge
흥미를 끌다,verb,interest,to attract attention or concern
흥미롭다,adj,interesting,arousing or holding the attention
관심있는,adj,interesting,arousing or holding the attention
재미있다,adj,interesting,arousing or holding the attention
면접하다,verb,interview,to have an interview
소개(紹介)하다,verb,introduce,to cause someone to be acquainted
섬,noun,island,area of land completely surrounded by water
도,noun,island,area of land completely surrounded by water
재킷,noun,jacket,piece of clothing worn on the upper body outside a shirt or blouse
청바지,noun,jeans,denim trousers
진,noun,jeans,denim trousers
일,noun,job,task
즙,noun,juice,liquid from a plant
과일단물,noun,juice,liquid from a plant
지키다,verb,keep,to maintain possession of
종류,noun,kind,"type, race, category"
부엌,noun,kitchen,room
주방,noun,kitchen,room
알다,verb,know,be justifiably certain or sure about (something true)
땅,noun,land,part of Earth that is not covered by oceans or other bodies of water
뭍,noun,land,part of Earth that is not covered by oceans or other bodies of water
토지,noun,land,part of Earth that is not covered by oceans or other bodies of water
육지,noun,land,part of Earth that is not covered by oceans or other bodies of water
륙지,noun,land,part of Earth that is not covered by oceans or other bodies of water
언어,noun,language,body of words used as a form of communication
말,noun,language,body of words used as a form of communication
크다,adj,large,of greater size — see also big
늦다,adv,late,past a designated time
지각하다,adv,late,past a designated time
후에,adv,later,more late
후,adv,later,more late
웃음,noun,laugh,expression of mirth peculiar to the human species
웃음소리,noun,laugh,expression of mirth peculiar to the human species
배우다,verb,learn,to acquire knowledge or ability
떠나다,verb,leave,"to cause to remain as available, not take away, refrain from depleting"
나가다,verb,leave,"to cause to remain as available, not take away, refrain from depleting"
방치하다,verb,leave,"to cause to remain as available, not take away, refrain from depleting"
왼쪽,noun,left,the left side
좌측,noun,left,the left side
다리,noun,leg,lower limb from groin to ankle
각,noun,leg,lower limb from groin to ankle
수업,noun,lesson,section of learning or teaching
과,noun,lesson,section of learning or teaching
허락하다,verb,let,allow
문자,noun,letter,a symbol in an alphabet
글씨,noun,letter,a symbol in an alphabet
글자,noun,letter,a symbol in an alphabet
도서관,noun,library,"institution which holds books, etc."
거짓말하다,verb,lie,tell an intentional untruth
거짓말을 하다,verb,lie,tell an intentional untruth
놓이다,verb,lie,be in horizontal position
생명,noun,life,the state of being alive
삶,noun,life,the state of being alive
생활,noun,life,the state of being alive
밝다,adj,light,having light
가볍다,adj,light,of low weight
경량(輕量)의,adj,light,of low weight
좋아하다,verb,like,to enjoy
라인,noun,line,group of people born in a certain year
사자,noun,lion,big cat Panthera leo
듣다,verb,listen,to pay attention to a sound
작은,adj,little,small in size
살다,verb,live,be alive
지방의,adj,local,of a nearby location
길게,adv,long,over a great distance
멀리,adv,long,over a great distance
보다,verb,look,to try to see
잃다,verb,lose,cause (something) to cease to be in one's possession or capability
사랑하다,verb,love,have a strong affection for
애정을 품다,verb,love,have a strong affection for
점심,noun,lunch,meal around midday
점심(點心)밥,noun,lunch,meal around midday
점심(點心) 식사,noun,lunch,meal around midday
중식,noun,lunch,meal around midday
오반,noun,lunch,meal around midday
주식,noun,lunch,meal around midday
런치,noun,lunch,meal around midday
기계,noun,machine,mechanical or electrical device
기계,noun,machine,mechanical or electrical device
머신,noun,machine,mechanical or electrical device
잡지,noun,magazine,periodical
주요하다,adj,main,"chief, most important, or principal in extent, etc."
만들다,verb,make,to construct
하다,verb,make,to construct
제작하다,verb,make,to construct
남자,noun,man,adult male human
사내,noun,man,adult male human
지도,noun,map,visual representation of an area
맞다,verb,match,intransitive: to agree; to be equal
맞추다,verb,match,intransitive: to agree; to be equal
아마,adv,maybe,indicating a lack of certainty
아마도,adv,maybe,indicating a lack of certainty
어쩌면,adv,maybe,indicating a lack of certainty
끼니,noun,meal,food that is prepared and eaten
밥,noun,meal,food that is prepared and eaten
식사,noun,meal,food that is prepared and eaten
진지,noun,meal,food that is prepared and eaten
기울,noun,meal,coarse-ground edible part of various grains
밀기울,noun,meal,coarse-ground edible part of various grains
